,Unnamed: 0,artist,date,ranking,title
183,1162,Toni Braxton,2000-03-18,63,He Wasn t Man Enough
187,1190,Collin Raye,2000-03-18,91,Couldn t Last A Moment
193,1283,Dave Hollister,2000-03-25,84,Can t Stay
196,1297,Tamar,2000-03-25,98,If You Don t Wanna Love Me
202,1391,Anastacia,2000-04-01,92,I m Outta Love
211,1562,LFO,2000-04-15,63,I Don t Wanna Kiss You Goodnight
222,1695,Big Punisher,2000-04-22,96,It s So Hard
231,1876,Jagged Edge,2000-05-06,77,Let s Get Married
232,1881,N Sync,2000-05-06,82,It s Gonna Be Me
236,1973,Destiny s Child,2000-05-13,74,"Jumpin , Jumpin"
238,1982,Lee Ann Womack With Sons Of The Desert,2000-05-13,83,I Hope You Dance
242,1988,Reba McEntire,2000-05-13,89,I ll Be
259,2394,Brooks,2000-06-10,95,You ll Always Be Loved By Me
261,2458,Janet,2000-06-17,59,Doesn t Really Matter
270,2577,Jo Dee Messina,2000-06-24,78,That s The Way
273,2593,Torrey Carter,2000-06-24,94,Take That
274,2606,'N Sync,2000-07-01,7,It's Gonna Be Me
280,2639,'N Sync,2000-07-01,40,Bye Bye Bye
294,2698,Snoop Dogg Presents Tha Eastsidaz,2000-07-01,99,Got Beef
300,2843,Jessica Simpson,2000-07-15,44,I Think I m In Love With You
306,2888,Eve,2000-07-15,89,Got It All
314,3165,Kandi,2000-08-05,66,Don t Think I m Not
322,3263,Bon Jovi,2000-08-12,64,It s My Life
323,3280,Joe Diffie,2000-08-12,81,It s Always Somethin
324,3282,Faith Hill With Tim McGraw,2000-08-12,83,Let s Make Love
325,3284,Pink,2000-08-12,85,Most Girls
330,3347,Lil Bow Wow,2000-08-19,48,Bounce With Me
336,3463,Vertical Horizon,2000-08-26,64,You re A God
341,3498,Aaron Carter,2000-08-26,99,Aaron s Party (Come Get It)
349,3681,LeAnn Rimes,2000-09-09,82,Can t Fight The Moonlight
356,3789,Tamia,2000-09-16,90,Can t Go For That
357,3797,Patty Loveless,2000-09-16,98,That s The Kind Of Mood I m In
358,3877,Destiny s Child,2000-09-23,78,Independent Women Part I
360,3890,Kelly Price,2000-09-23,91,You Should ve Told Me
361,3896,Billy Ray Cyrus,2000-09-23,97,You Won t Be Lonely Now
362,3967,N Sync,2000-09-30,68,This I Promise You
366,3988,Ludacris,2000-09-30,89,What s Your Fantasy
376,4193,Cam Ron,2000-10-14,94,What Means The World To You
377,4251,matchbox twenty,2000-10-21,52,If You re Gone
388,4398,Fragma,2000-10-28,99,Toca s Miracle
389,4456,Shaggy,2000-11-04,57,It Wasn t Me
395,4495,3LW,2000-11-04,96,No More (Baby I ma Do Right)
400,4595,Damizza Presents Shade Sheist,2000-11-11,96,Where I Wanna Be
409,4796,Lil Bow Wow,2000-11-25,97,Bow Wow (That s My Name)
417,4945,Jennifer Lopez,2000-12-09,46,Love Don t Cost A Thing
418,4961,98 Degrees,2000-12-09,62,My Everything
421,4977,Madonna,2000-12-09,78,Don t Tell Me
422,4981,112,2000-12-09,82,It s Over Now
431,5109,'N Sync,2000-12-23,10,This I Promise You
439,5142,Lil Bow Wow,2000-12-23,43,Bow Wow (That's My Name)
464,5367,Pink,2001-01-06,68,You Make Me Sick
470,5401,"Shaggy Feat. Ricardo ""RikRok"" Ducent",2001-01-13,2,It Wasn't Me
483,5665,Ricky Martin With Christina Aguilera,2001-01-27,66,Nobody Wants To Be Lonely
487,5681,Aaron Lewis Of Staind With Fred Durst,2001-01-27,82,Outside
494,5796,Baha Men With Imani Coppola,2001-02-03,97,You All Dat
531,6376,Train,2001-03-17,77,Drops Of Jupiter (Tell Me)
534,6464,"Missy ""Misdemeanor"" Elliott",2001-03-24,65,Get Ur Freak On
557,6781,Lil Bow Wow,2001-04-14,82,Puppy Love
576,7167,Samantha Mumba,2001-05-12,68,"Baby, Come Over (This Is Our Night)"
