,artist,date,ranking,title
3366,Erykah Badu,2000-08-19,67,Bag Lady
3371,Mya,2000-08-19,72,Case Of The Ex (Whatcha Gonna Do)
3395,Gerald Levert,2000-08-19,96,Baby U Are
3396,Travis Tritt,2000-08-19,97,Best Of Intentions
3463,Vertical Horizon,2000-08-26,64,You re A God
3470,George Strait,2000-08-26,71,Go On
3473,Aaron Tippin,2000-08-26,74,Kiss This
3475,Yolanda Adams,2000-08-26,76,Open My Heart
3486,Eminem,2000-08-26,87,The Way I Am
3498,Aaron Carter,2000-08-26,99,Aaron s Party (Come Get It)
3579,Third Eye Blind,2000-09-02,80,Deep Inside Of You
3581,Vince Gill,2000-09-02,82,Feels Like Love
3590,2Gether,2000-09-02,91,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)
3598,Zombie Nation,2000-09-02,99,Kernkraft 400
3676,Barenaked Ladies,2000-09-09,77,Pinch Me
3678,Martina McBride,2000-09-09,79,There You Are
3680,John Michael Montgomery,2000-09-09,81,The Little Girl
3681,LeAnn Rimes,2000-09-09,82,Can t Fight The Moonlight
3684,Samantha Mumba,2000-09-09,85,Gotta Tell You
3693,Shyne,2000-09-09,94,Bad Boyz
3696,Trina,2000-09-09,97,Pull Over
3751,Profyle,2000-09-16,52,Liar
3781,Marc Anthony,2000-09-16,82,My Baby You
3784,Ja Rule,2000-09-16,85,Between Me And You
3789,Tamia,2000-09-16,90,Can t Go For That
3797,Patty Loveless,2000-09-16,98,That s The Kind Of Mood I m In
3877,Destiny s Child,2000-09-23,78,Independent Women Part I
3881,Carl Thomas,2000-09-23,82,Summer Rain
3890,Kelly Price,2000-09-23,91,You Should ve Told Me
3896,Billy Ray Cyrus,2000-09-23,97,You Won t Be Lonely Now
3967,N Sync,2000-09-30,68,This I Promise You
3970,R. Kelly,2000-09-30,71,I Wish
3979,Changing Faces,2000-09-30,80,That Other Woman
3980,Phil Vassar,2000-09-30,81,Just Another Day In Paradise
3988,Ludacris,2000-09-30,89,What s Your Fantasy
3998,Dream,2000-09-30,99,He Loves U Not
4037,Ricky Martin,2000-10-07,38,She Bangs
4070,Nelly,2000-10-07,71,E.I.
4074,U2,2000-10-07,75,Beautiful Day
4076,Wyclef Jean,2000-10-07,77,911
4079,Dixie Chicks,2000-10-07,80,Without You
4138,Backstreet Boys,2000-10-14,39,Shape Of My Heart
4170,Brad Paisley,2000-10-14,71,We Danced
4188,Musiq,2000-10-14,89,Just Friends (Sunny)
4193,Cam Ron,2000-10-14,94,What Means The World To You
4251,matchbox twenty,2000-10-21,52,If You re Gone
4271,Beenie Man,2000-10-21,72,Girls Dem Sugar
4272,Tim McGraw,2000-10-21,73,My Next Thirty Years
4274,Kenny Chesney,2000-10-21,75,I Lost It
4275,3 Doors Down,2000-10-21,76,Loser
4276,Sara Evans,2000-10-21,77,Born To Fly
4298,Chris Cagle,2000-10-21,99,My Love Goes On And On
4357,Jay-Z,2000-10-28,58,I Just Wanna Love U (Give It 2 Me)
4372,The Wallflowers,2000-10-28,73,Sleepwalker
4376,Fuel,2000-10-28,77,Hemorrhage (In My Hands)
4397,Chante Moore,2000-10-28,98,Straight Up
4398,Fragma,2000-10-28,99,Toca s Miracle
4456,Shaggy,2000-11-04,57,It Wasn t Me
4457,Evan And Jaron,2000-11-04,58,Crazy For This Girl
4467,Usher,2000-11-04,68,Pop Ya Collar
4469,Avant,2000-11-04,70,My First Love
4474,Alan Jackson,2000-11-04,75,www.memory
4477,Eminem,2000-11-04,78,Stan
4495,3LW,2000-11-04,96,No More (Baby I ma Do Right)
4554,OutKast,2000-11-11,55,Ms. Jackson
4576,Limp Bizkit,2000-11-11,77,Rollin
4591,Funkmaster Flex,2000-11-11,92,Do You
4593,Billy Gilman,2000-11-11,94,Oklahoma
