,artist,date,ranking,title
44998,Meryl Streep,2008-08-09,99,Mamma Mia
45007,Jonas Brothers,2008-08-16,8,Tonight
45028,T-Pain,2008-08-16,29,Can't Believe It
45075,Lady GaGa,2008-08-16,76,Just Dance
45090,Savage,2008-08-16,91,Swing
45110,Jonas Brothers,2008-08-23,11,A Little Bit Longer
45120,The Game,2008-08-23,21,My Life
45165,Bow Wow,2008-08-23,66,Marco Polo
45178,Melissa Lawson,2008-08-23,79,What If It All Goes Right
45189,Keri Hilson,2008-08-23,90,Energy
45191,O.A.R.,2008-08-23,92,Shattered (Turn The Car Around)
45197,Carrie Underwood,2008-08-23,98,Just A Dream
45198,T.I.,2008-08-23,99,Whatever You Like
45201,David Archuleta,2008-08-30,2,Crush
45209,Taylor Swift,2008-08-30,10,Change
45215,Chris Brown,2008-08-30,16,Dreamer
45240,Kenny Chesney,2008-08-30,41,Everybody Wants To Go To Heaven
45242,Demi Lovato,2008-08-30,43,Get Back
45264,Hit Masters,2008-08-30,65,All Summer Long
45287,Jonas Brothers,2008-08-30,88,BB Good
45291,Goo Goo Dolls,2008-08-30,92,Real
45293,September,2008-08-30,94,Cry For You
45295,Nelly,2008-08-30,96,Warrior
45297,Colbie Caillat,2008-08-30,98,Something Special
45308,Pink,2008-09-06,9,So What
45330,Metallica,2008-09-06,31,The Day That Never Comes
45384,Studio All-Stars,2008-09-06,85,American Boy
45385,Lil Wayne,2008-09-06,86,Mrs. Officer
45397,Ne-Yo,2008-09-06,98,Miss Independent
45458,Ludacris Co-Starring Chris Brown,2008-09-13,59,What Them Girls Like
45461,T.I.,2008-09-13,62,Swing Ya Rag
45466,Metallica,2008-09-13,67,My Apocalypse
45477,Artists Stand Up To Cancer,2008-09-13,78,Just Stand Up!
45484,Kevin Rudolf,2008-09-13,85,Let It Rock
45488,Matt Nathanson,2008-09-13,89,Come On Get Higher
45491,Slim,2008-09-13,92,So Fly
45492,Gym Class Heroes,2008-09-13,93,Cookie Jar
45549,Metallica,2008-09-20,50,Cyanide
45583,T.I.,2008-09-20,84,"What Up, What's Haapnin'"
45585,Shontelle,2008-09-20,86,T-Shirt
45593,High School Musical 3 Cast,2008-09-20,94,Now Or Never
45595,John Legend,2008-09-20,96,Green Light
45597,Luis Fonsi,2008-09-20,98,No Me Doy Por Vencido
45599,Luke Bryan,2008-09-20,100,Country Man
45604,Jay-Z,2008-09-27,5,Swagga Like Us
45615,Taylor Swift,2008-09-27,16,Love Story
45620,Fall Out Boy,2008-09-27,21,I Don't Care
45672,Rehab,2008-09-27,73,Bartender Song
45681,Joshua Radin,2008-09-27,82,I'd Rather Be With You
45682,Brandy,2008-09-27,83,Right Here (Departed)
45683,Jonas Brothers,2008-09-27,84,Lovebug
45695,Montgomery Gentry,2008-09-27,96,Roll With Me
45696,Alicia Keys,2008-09-27,97,Superwoman
45697,Theory Of A Deadman,2008-09-27,98,Bad Girlfriend
45699,Tim McGraw,2008-09-27,100,Let It Go
45702,Kanye West,2008-10-04,3,Love Lockdown
45737,The Rock Heroes,2008-10-04,38,All Summer Long
45759,Zac Brown Band,2008-10-04,60,Chicken Fried
45768,DJ Khaled,2008-10-04,69,Go Hard
45792,Natasha Bedingfield,2008-10-04,93,Angel
45816,Akon,2008-10-11,17,Right Now (Na Na Na)
45856,T.I.,2008-10-11,57,Ready For Whatever
45862,Pitbull,2008-10-11,63,Krazy
45867,Demi Lovato,2008-10-11,68,Don't Forget
45879,T.I.,2008-10-11,80,Live Your Life
45885,Kings Of Leon,2008-10-11,86,Use Somebody
45898,Sugarland,2008-10-11,99,Already Gone
45899,Demi Lovato,2008-10-11,100,On The Line
45906,Christina Aguilera,2008-10-18,7,Keeps Gettin' Better
45909,Nickelback,2008-10-18,10,Gotta Be Somebody
45916,David Cook,2008-10-18,17,Light On
45931,The Killers,2008-10-18,32,Human
45975,T.I.,2008-10-18,76,Dead And Gone
45977,Ciara,2008-10-18,78,Go Girl
45987,Jesse McCartney,2008-10-18,88,It's Over
45988,Hinder,2008-10-18,89,Without You
45992,Bucky Covington,2008-10-18,93,I'll Walk
45993,Rascal Flatts,2008-10-18,94,Here
45994,Chuck Wicks,2008-10-18,95,All I Ever Wanted
45995,Britney Spears,2008-10-18,96,Womanizer
45998,Jamey Johnson,2008-10-18,99,In Color
46039,Akon,2008-10-25,40,I'm So Paid
46042,Kenny Chesney With The Wailers,2008-10-25,43,Everybody Wants To Go To Heaven
46073,Fall Out Boy,2008-10-25,74,Headfirst Slide Into Cooperstown On A Bad Bet
46080,Jazmine Sullivan,2008-10-25,81,Bust Your Windows
46081,Dierks Bentley,2008-10-25,82,Feel That Fire
46090,Lady Antebellum,2008-10-25,91,Lookin' For A Good Time
46092,Oasis,2008-10-25,93,The Shock Of The Lightning
46095,The Offspring,2008-10-25,96,"You're Gonna Go Far, Kid"
46099,Beyonce,2008-10-25,100,If I Were A Boy
46108,Taylor Swift,2008-11-01,9,Fearless
46137,T-Pain,2008-11-01,38,Freeze
46143,50 Cent,2008-11-01,44,Get Up
46165,Brad Paisley Duet With Keith Urban,2008-11-01,66,Start A Band
46171,Beyonce,2008-11-01,72,Single Ladies (Put A Ring On It)
46183,T-Pain,2008-11-01,84,Chopped 'N' Skrewed
46184,Mike Jones,2008-11-01,85,Cuddy Buddy
46186,Craig Morgan,2008-11-01,87,Love Remembers
46189,Ray LaMontagne,2008-11-01,90,You Are The Best Thing
46190,Ingrid Michaelson,2008-11-01,91,Be OK
46191,Apocalyptica,2008-11-01,92,I Don't Care
