,year,band_singer,ranking,song,songurl,url
822,1997,Freak Nasty,34.0,Da' Dip,/wiki/Da%27_Dip,/wiki/Freak_Nasty
842,1997,Spice Girls,35.0,2 Become 1,/wiki/2_Become_1,/wiki/Spice_Girls
862,1997,Sister Hazel,36.0,All for You,/wiki/All_for_You_(Sister_Hazel_song),/wiki/Sister_Hazel
882,1997,112,37.0,Cupid,/wiki/Cupid_(112_song),/wiki/112_(band)
902,1997,Paula Cole,38.0,Where Have All the Cowboys Gone?,/wiki/Where_Have_All_the_Cowboys_Gone%3F,/wiki/Paula_Cole
922,1997,Shawn Colvin,39.0,Sunny Came Home,/wiki/Sunny_Came_Home,/wiki/Shawn_Colvin
942,1997,Tim McGraw,40.0,It's Your Love,/wiki/It%27s_Your_Love,/wiki/Tim_McGraw
962,1997,Faith Hill,40.0,It's Your Love,/wiki/It%27s_Your_Love,/wiki/Faith_Hill
982,1997,Gina G,41.0,Ooh Aah... Just a Little Bit,/wiki/Ooh_Aah..._Just_a_Little_Bit,/wiki/Gina_G
1002,1997,Merril Bainbridge,42.0,Mouth,/wiki/Mouth_(song),/wiki/Merril_Bainbridge
1022,1997,Allure,43.0,All Cried Out,/wiki/All_Cried_Out_(Lisa_Lisa_%26_Cult_Jam_song),/wiki/Allure_(group)
1042,1997,112,43.0,All Cried Out,/wiki/All_Cried_Out_(Lisa_Lisa_%26_Cult_Jam_song),/wiki/112_(band)
1062,1997,New Edition,44.0,I'm Still in Love with You,/wiki/I%27m_Still_in_Love_with_You_(New_Edition_song),/wiki/New_Edition
1082,1997,98 Degrees,45.0,Invisible Man,/wiki/Invisible_Man_(song),/wiki/98_Degrees
1102,1997,Lil' Kim,46.0,Not Tonight,/wiki/Not_Tonight,/wiki/Lil%27_Kim
1122,1997,Da Brat,46.0,Not Tonight,/wiki/Not_Tonight,/wiki/Da_Brat
1142,1997,Left Eye,46.0,Not Tonight,/wiki/Not_Tonight,/wiki/Lisa_Lopes
1162,1997,Missy Elliott,46.0,Not Tonight,/wiki/Not_Tonight,/wiki/Missy_Elliott
1182,1997,Angie Martinez,46.0,Not Tonight,/wiki/Not_Tonight,/wiki/Angie_Martinez
1202,1997,Bone Thugs-n-Harmony,47.0,Look into My Eyes,/wiki/Look_into_My_Eyes_(Bone_Thugs-n-Harmony_song),/wiki/Bone_Thugs-n-Harmony
1222,1997,702,48.0,Get It Together,/wiki/Get_It_Together_(702_song),/wiki/702_(band)
1242,1997,Celine Dion,49.0,All by Myself,/wiki/All_by_Myself#C.C3.A9line_Dion_version,/wiki/Celine_Dion
1262,1997,Celine Dion,50.0,It's All Coming Back to Me Now,/wiki/It%27s_All_Coming_Back_to_Me_Now,/wiki/Celine_Dion
1282,1997,Somethin' for the People,51.0,My Love Is the Shhh!,/wiki/My_Love_Is_the_Shhh!,/wiki/Somethin%27_for_the_People
1302,1997,Trina & Tamara,51.0,My Love Is the Shhh!,/wiki/My_Love_Is_the_Shhh!,/wiki/Trina_%26_Tamara
1322,1997,No Mercy,52.0,Where Do You Go,/wiki/Where_Do_You_Go_(No_Mercy_song),/wiki/No_Mercy_(pop_band)
1342,1997,Barbra Streisand,53.0,I Finally Found Someone,/wiki/I_Finally_Found_Someone,/wiki/Barbra_Streisand
1362,1997,Bryan Adams,53.0,I Finally Found Someone,/wiki/I_Finally_Found_Someone,/wiki/Bryan_Adams
1382,1997,Foxy Brown,54.0,I'll Be,/wiki/I%27ll_Be_(Foxy_Brown_song),/wiki/Foxy_Brown_(rapper)
1402,1997,Jay-Z,54.0,I'll Be,/wiki/I%27ll_Be_(Foxy_Brown_song),/wiki/Jay-Z
1422,1997,Sheryl Crow,55.0,If It Makes You Happy,/wiki/If_It_Makes_You_Happy,/wiki/Sheryl_Crow
1442,1997,Dru Hill,56.0,Never Make a Promise,/wiki/Never_Make_a_Promise,/wiki/Dru_Hill
1462,1997,Journey,57.0,When You Love a Woman,/wiki/When_You_Love_a_Woman,/wiki/Journey_(band)
1482,1997,Timbaland & Magoo,58.0,Up Jumps da Boogie,/wiki/Up_Jumps_da_Boogie,/wiki/Timbaland_%26_Magoo
1502,1997,Missy Elliott,58.0,Up Jumps da Boogie,/wiki/Up_Jumps_da_Boogie,/wiki/Missy_Elliott
1522,1997,Aaliyah,58.0,Up Jumps da Boogie,/wiki/Up_Jumps_da_Boogie,/wiki/Aaliyah
1542,1997,Toni Braxton,59.0,I Don't Want To,/wiki/I_Don%27t_Want_To,/wiki/Toni_Braxton
1562,1997,Toni Braxton,59.0,I Love Me Some Him,/wiki/I_Love_Me_Some_Him,/wiki/Toni_Braxton
1582,1997,Sheryl Crow,60.0,Everyday Is a Winding Road,/wiki/Everyday_Is_a_Winding_Road,/wiki/Sheryl_Crow
1602,1997,MC Lyte,61.0,Cold Rock a Party,/wiki/Cold_Rock_a_Party,/wiki/MC_Lyte
1622,1997,Ginuwine,62.0,Pony,/wiki/Pony_(Ginuwine_song),/wiki/Ginuwine
1642,1997,Sarah McLachlan,63.0,Building a Mystery,/wiki/Building_a_Mystery,/wiki/Sarah_McLachlan
1662,1997,Donna Lewis,64.0,I Love You Always Forever,/wiki/I_Love_You_Always_Forever,/wiki/Donna_Lewis
1682,1997,White Town,65.0,Your Woman,/wiki/Your_Woman,/wiki/White_Town
1702,1997,Coolio,66.0,C U When U Get There,/wiki/C_U_When_U_Get_There,/wiki/Coolio
1722,1997,Eric Clapton,67.0,Change the World,/wiki/Change_the_World,/wiki/Eric_Clapton
1742,1997,B-Rock and the Bizz,68.0,My Baby Daddy,/wiki/My_Baby_Daddy,/wiki/B-Rock_and_the_Bizz
1762,1997,Chumbawamba,69.0,Tubthumping,/wiki/Tubthumping,/wiki/Chumbawamba
1782,1997,R. Kelly,70.0,Gotham City,/wiki/Gotham_City_(song),/wiki/R._Kelly
1802,1997,Az Yet,71.0,Last Night,/wiki/Last_Night_(Az_Yet_song),/wiki/Az_Yet
1822,1997,Heavy D,73.0,Big Daddy,/wiki/Big_Daddy_(song),/wiki/Heavy_D
1842,1997,Total,74.0,What About Us,/wiki/What_About_Us%3F_(Total_song),/wiki/Total_(band)
1862,1997,Scarface,75.0,Smile,/wiki/Smile_(Scarface_song),/wiki/Scarface_(rapper)
1882,1997,2Pac,75.0,Smile,/wiki/Smile_(Scarface_song),/wiki/Tupac_Shakur
1902,1997,Montell Jordan,76.0,What's on Tonight,/wiki/What%27s_on_Tonight,/wiki/Montell_Jordan
1922,1997,Bruce Springsteen,77.0,Secret Garden,/wiki/Secret_Garden_(Bruce_Springsteen_song),/wiki/Bruce_Springsteen
1942,1997,Aaliyah,78.0,The One I Gave My Heart To,/wiki/The_One_I_Gave_My_Heart_To,/wiki/Aaliyah
