,year,band_singer,ranking,song,songurl,url
2489,2005,R. Kelly,94.0,Wonderful,/wiki/Wonderful_(Ja_Rule_song),/wiki/R._Kelly
2502,2005,Ashanti,94.0,Wonderful,/wiki/Wonderful_(Ja_Rule_song),/wiki/Ashanti_(entertainer)
2515,2005,T-Pain,95.0,I'm Sprung,/wiki/I%27m_Sprung,/wiki/T-Pain
2527,2005,Gavin DeGraw,96.0,Chariot,/wiki/Chariot_(song),/wiki/Gavin_DeGraw
2538,2005,112,97.0,U Already Know,/wiki/U_Already_Know,/wiki/112_(band)
2549,2005,Foxy Brown,97.0,U Already Know,/wiki/U_Already_Know,/wiki/Foxy_Brown_(rapper)
2558,2005,Faith Hill,98.0,Mississippi Girl,/wiki/Mississippi_Girl,/wiki/Faith_Hill
2567,2005,Ludacris,99.0,Number One Spot,/wiki/Number_One_Spot,/wiki/Ludacris
2576,2005,Webbie,100.0,Give Me That,/wiki/Give_Me_That,/wiki/Webbie
2585,2005,Bun B,100.0,Give Me That,/wiki/Give_Me_That,/wiki/Bun_B
11,2006,Daniel Powter,1.0,Bad Day,/wiki/Bad_Day_(Daniel_Powter_song),/wiki/Daniel_Powter
31,2006,Sean Paul,2.0,Temperature,/wiki/Temperature_(song),/wiki/Sean_Paul
51,2006,Nelly Furtado,3.0,Promiscuous,/wiki/Promiscuous_(song),/wiki/Nelly_Furtado
71,2006,Timbaland,3.0,Promiscuous,/wiki/Promiscuous_(song),/wiki/Timbaland
91,2006,James Blunt,4.0,You're Beautiful,/wiki/You%27re_Beautiful,/wiki/James_Blunt
111,2006,Shakira,5.0,Hips Don't Lie,/wiki/Hips_Don%27t_Lie,/wiki/Shakira
131,2006,Wyclef Jean,5.0,Hips Don't Lie,/wiki/Hips_Don%27t_Lie,/wiki/Wyclef_Jean
151,2006,Natasha Bedingfield,6.0,Unwritten,/wiki/Unwritten_(song),/wiki/Natasha_Bedingfield
171,2006,Gnarls Barkley,7.0,Crazy,/wiki/Crazy_(Gnarls_Barkley_song),/wiki/Gnarls_Barkley
191,2006,Chamillionaire,8.0,Ridin',/wiki/Ridin%27,/wiki/Chamillionaire
211,2006,Krayzie Bone,8.0,Ridin',/wiki/Ridin%27,/wiki/Krayzie_Bone
231,2006,Justin Timberlake,9.0,SexyBack,/wiki/SexyBack,/wiki/Justin_Timberlake
251,2006,Timbaland,9.0,SexyBack,/wiki/SexyBack,/wiki/Timbaland
271,2006,Beyoncé,10.0,Check on It,/wiki/Check_on_It,/wiki/Beyonc%C3%A9_Knowles
291,2006,Slim Thug,10.0,Check on It,/wiki/Check_on_It,/wiki/Slim_Thug
311,2006,Mary J. Blige,11.0,Be Without You,/wiki/Be_Without_You,/wiki/Mary_J._Blige
331,2006,Nelly,12.0,Grillz,/wiki/Grillz,/wiki/Nelly
351,2006,Paul Wall,12.0,Grillz,/wiki/Grillz,/wiki/Paul_Wall
371,2006,Ali & Gipp,12.0,Grillz,/wiki/Grillz,/wiki/Ali_%26_Gipp
391,2006,The Fray,13.0,Over My Head (Cable Car),/wiki/Over_My_Head_(Cable_Car),/wiki/The_Fray_(band)
411,2006,Cassie,14.0,Me & U,/wiki/Me_%26_U_(Cassie),/wiki/Cassie_(singer)
431,2006,Pussycat Dolls,15.0,Buttons,/wiki/Buttons_(song),/wiki/Pussycat_Dolls
451,2006,Snoop Dogg,15.0,Buttons,/wiki/Buttons_(song),/wiki/Snoop_Dogg
471,2006,Chris Brown,16.0,Run It!,/wiki/Run_It!,/wiki/Chris_Brown_(American_singer)
491,2006,Juelz Santana,16.0,Run It!,/wiki/Run_It!,/wiki/Juelz_Santana
511,2006,Ne-Yo,17.0,So Sick,/wiki/So_Sick,/wiki/Ne-Yo
531,2006,Yung Joc,18.0,It's Goin' Down,/wiki/It%27s_Goin%27_Down_(Yung_Joc_song),/wiki/Yung_Joc
551,2006,Nitti,18.0,It's Goin' Down,/wiki/It%27s_Goin%27_Down_(Yung_Joc_song),/wiki/Nitti_(producer)
571,2006,Rihanna,19.0,SOS,/wiki/SOS_(Rihanna_song),/wiki/Rihanna
591,2006,Panic! at the Disco,20.0,I Write Sins Not Tragedies,/wiki/I_Write_Sins_Not_Tragedies,/wiki/Panic!_at_the_Disco
611,2006,The All-American Rejects,21.0,Move Along,/wiki/Move_Along_(song),/wiki/The_All-American_Rejects
631,2006,Fergie,22.0,London Bridge,/wiki/London_Bridge_(song),/wiki/Fergie_(singer)
651,2006,Red Hot Chili Peppers,23.0,Dani California,/wiki/Dani_California,/wiki/Red_Hot_Chili_Peppers
671,2006,Lil Jon,24.0,Snap Yo Fingers,/wiki/Snap_Yo_Fingers,/wiki/Lil_Jon
691,2006,E-40,24.0,Snap Yo Fingers,/wiki/Snap_Yo_Fingers,/wiki/E-40
711,2006,Sean Paul,24.0,Snap Yo Fingers,/wiki/Snap_Yo_Fingers,/wiki/YoungBloodZ
731,2006,Dem Franchize Boyz,25.0,"Lean wit It, Rock wit It","/wiki/Lean_wit_It,_Rock_wit_It",/wiki/Dem_Franchize_Boyz
751,2006,Rascal Flatts,26.0,What Hurts the Most,/wiki/What_Hurts_the_Most,/wiki/Rascal_Flatts
771,2006,The Fray,27.0,How to Save a Life,/wiki/How_to_Save_a_Life_(song),/wiki/The_Fray_(band)
791,2006,Rihanna,28.0,Unfaithful,/wiki/Unfaithful_(song),/wiki/Rihanna
811,2006,Snow Patrol,29.0,Chasing Cars,/wiki/Chasing_Cars,/wiki/Snow_Patrol
831,2006,Hinder,30.0,Lips of an Angel,/wiki/Lips_of_an_Angel,/wiki/Hinder
851,2006,Cascada,31.0,Everytime We Touch,/wiki/Everytime_We_Touch_(Cascada_song),/wiki/Cascada
871,2006,Christina Aguilera,32.0,Ain't No Other Man,/wiki/Ain%27t_No_Other_Man,/wiki/Christina_Aguilera
891,2006,Fall Out Boy,33.0,"Dance, Dance","/wiki/Dance,_Dance_(Fall_Out_Boy_song)",/wiki/Fall_Out_Boy
911,2006,Kanye West,34.0,Gold Digger,/wiki/Gold_Digger_(Kanye_West_song),/wiki/Kanye_West
931,2006,Jamie Foxx,34.0,Gold Digger,/wiki/Gold_Digger_(Kanye_West_song),/wiki/Jamie_Foxx
951,2006,Ludacris,35.0,Money Maker,/wiki/Money_Maker,/wiki/Ludacris
971,2006,Pharrell,35.0,Money Maker,/wiki/Money_Maker,/wiki/Pharrell_Williams
991,2006,Bubba Sparxxx,36.0,Ms. New Booty,/wiki/Ms._New_Booty,/wiki/Bubba_Sparxxx
1011,2006,Ying Yang Twins,36.0,Ms. New Booty,/wiki/Ms._New_Booty,/wiki/Ying_Yang_Twins
1031,2006,Sean Paul,37.0,(When You Gonna) Give It Up to Me,/wiki/(When_You_Gonna)_Give_It_Up_to_Me,/wiki/Sean_Paul
1051,2006,Keyshia Cole,37.0,(When You Gonna) Give It Up to Me,/wiki/(When_You_Gonna)_Give_It_Up_to_Me,/wiki/Keyshia_Cole
1071,2006,Nickelback,38.0,Photograph,/wiki/Photograph_(Nickelback_song),/wiki/Nickelback
1091,2006,Kelly Clarkson,39.0,Because of You,/wiki/Because_of_You_(Kelly_Clarkson_song),/wiki/Kelly_Clarkson
1111,2006,Pussycat Dolls,40.0,Stickwitu,/wiki/Stickwitu,/wiki/Pussycat_Dolls
1131,2006,T-Pain,41.0,I'm 'n Luv (Wit a Stripper),/wiki/I%27m_%27n_Luv_(Wit_a_Stripper),/wiki/T-Pain
1151,2006,Mike Jones,41.0,I'm 'n Luv (Wit a Stripper),/wiki/I%27m_%27n_Luv_(Wit_a_Stripper),/wiki/Mike_Jones_(rapper)
1171,2006,The Black Eyed Peas,42.0,My Humps,/wiki/My_Humps,/wiki/The_Black_Eyed_Peas
1191,2006,Fort Minor,43.0,Where'd You Go,/wiki/Where%27d_You_Go_(Fort_Minor_song),/wiki/Fort_Minor
1211,2006,Holly Brook,43.0,Where'd You Go,/wiki/Where%27d_You_Go_(Fort_Minor_song),/wiki/Holly_Brook
1231,2006,Jonah Matranga,43.0,Where'd You Go,/wiki/Where%27d_You_Go_(Fort_Minor_song),/wiki/Jonah_Matranga
1251,2006,Chris Brown,44.0,Yo (Excuse Me Miss),/wiki/Yo_(Excuse_Me_Miss),/wiki/Chris_Brown_(American_singer)
1271,2006,Kelly Clarkson,45.0,Walk Away,/wiki/Walk_Away_(Kelly_Clarkson_song),/wiki/Kelly_Clarkson
1291,2006,D4L,46.0,Laffy Taffy,/wiki/Laffy_Taffy_(song),/wiki/D4L
1311,2006,T.I.,47.0,What You Know,/wiki/What_You_Know,/wiki/T.I.
1331,2006,The All-American Rejects,48.0,Dirty Little Secret,/wiki/Dirty_Little_Secret,/wiki/The_All-American_Rejects
1351,2006,Nickelback,49.0,Savin' Me,/wiki/Savin%27_Me,/wiki/Nickelback
1371,2006,Mariah Carey,50.0,Don't Forget About Us,/wiki/Don%27t_Forget_About_Us,/wiki/Mariah_Carey
1391,2006,Ne-Yo,51.0,Sexy Love,/wiki/Sexy_Love,/wiki/Ne-Yo
1411,2006,E-40,52.0,U and Dat,/wiki/U_and_Dat,/wiki/E-40
1431,2006,T-Pain,52.0,U and Dat,/wiki/U_and_Dat,/wiki/T-Pain
1451,2006,Kandi Girl,52.0,U and Dat,/wiki/U_and_Dat,/wiki/Kandi_Burruss
1471,2006,Nickelback,53.0,Far Away,/wiki/Far_Away_(Nickelback_song),/wiki/Nickelback
1491,2006,Nick Lachey,54.0,What's Left of Me,/wiki/What%27s_Left_of_Me_(song),/wiki/Nick_Lachey
1511,2006,Field Mob,55.0,So What,/wiki/So_What_(Field_Mob_song),/wiki/Field_Mob
1531,2006,Ciara,55.0,So What,/wiki/So_What_(Field_Mob_song),/wiki/Ciara
1551,2006,Cherish,56.0,Do It to It,/wiki/Do_It_to_It,/wiki/Cherish_(band)
1571,2006,Sean P,56.0,Do It to It,/wiki/Do_It_to_It,/wiki/YoungBloodZ
1591,2006,KT Tunstall,57.0,Black Horse and the Cherry Tree,/wiki/Black_Horse_and_the_Cherry_Tree,/wiki/KT_Tunstall
1611,2006,Juelz Santana,58.0,There It Go (The Whistle Song),/wiki/There_It_Go_(The_Whistle_Song),/wiki/Juelz_Santana
1631,2006,Young Dro,59.0,Shoulder Lean,/wiki/Shoulder_Lean,/wiki/Young_Dro
1651,2006,T.I.,59.0,Shoulder Lean,/wiki/Shoulder_Lean,/wiki/T.I.
1671,2006,Jamie Foxx,60.0,Unpredictable,/wiki/Unpredictable_(Jamie_Foxx_song),/wiki/Jamie_Foxx
1691,2006,Ludacris,60.0,Unpredictable,/wiki/Unpredictable_(Jamie_Foxx_song),/wiki/Ludacris
1711,2006,Justin Timberlake,61.0,My Love,/wiki/My_Love_(Justin_Timberlake_song),/wiki/Justin_Timberlake
1731,2006,T.I.,61.0,My Love,/wiki/My_Love_(Justin_Timberlake_song),/wiki/T.I.
1751,2006,Eminem,62.0,Shake That,/wiki/Shake_That,/wiki/Eminem
1771,2006,Nate Dogg,62.0,Shake That,/wiki/Shake_That,/wiki/Nate_Dogg
1791,2006,Chingy,63.0,Pullin' Me Back,/wiki/Pullin%27_Me_Back,/wiki/Chingy
1811,2006,Tyrese,63.0,Pullin' Me Back,/wiki/Pullin%27_Me_Back,/wiki/Tyrese_Gibson
1831,2006,Kelis,64.0,Bossy,/wiki/Bossy_(Kelis_song),/wiki/Kelis
1851,2006,Too Short,64.0,Bossy,/wiki/Bossy_(Kelis_song),/wiki/Too_Short
1871,2006,Jibbs,65.0,Chain Hang Low,/wiki/Chain_Hang_Low,/wiki/Jibbs
1891,2006,Akon,66.0,Smack That,/wiki/Smack_That,/wiki/Akon
1911,2006,Eminem,66.0,Smack That,/wiki/Smack_That,/wiki/Eminem
1931,2006,Ray J,67.0,One Wish,/wiki/One_Wish_(Ray_J_song),/wiki/Ray_J
1951,2006,Fall Out Boy,68.0,"Sugar, We're Goin Down","/wiki/Sugar,_We%27re_Goin_Down",/wiki/Fall_Out_Boy
1971,2006,Chris Brown,69.0,Gimme That,/wiki/Gimme_That,/wiki/Chris_Brown_(American_singer)
1991,2006,Lil Wayne,69.0,Gimme That,/wiki/Gimme_That,/wiki/Lil_Wayne
2011,2006,Yung Joc,70.0,I Know You See It,/wiki/I_Know_You_See_It,/wiki/Yung_Joc
2031,2006,Bon Jovi,71.0,Who Says You Can't Go Home,/wiki/Who_Says_You_Can%27t_Go_Home,/wiki/Bon_Jovi
2051,2006,Jennifer Nettles,71.0,Who Says You Can't Go Home,/wiki/Who_Says_You_Can%27t_Go_Home,/wiki/Jennifer_Nettles
2071,2006,JoJo,72.0,Too Little Too Late,/wiki/Too_Little_Too_Late,/wiki/JoJo_(singer)
2091,2006,Busta Rhymes,73.0,Touch It,/wiki/Touch_It,/wiki/Busta_Rhymes
2111,2006,Daddy Yankee,74.0,Rompe,/wiki/Rompe,/wiki/Daddy_Yankee
2130,2006,Beyoncé,75.0,Déjà Vu,/wiki/D%C3%A9j%C3%A0_Vu_(Beyonc%C3%A9_Knowles_song),/wiki/Beyonc%C3%A9_Knowles
2149,2006,Jay-Z,75.0,Déjà Vu,/wiki/D%C3%A9j%C3%A0_Vu_(Beyonc%C3%A9_Knowles_song),/wiki/Jay-Z
2168,2006,Rascal Flatts,76.0,Life Is a Highway,/wiki/Life_Is_a_Highway,/wiki/Rascal_Flatts
2187,2006,Evanescence,77.0,Call Me When You're Sober,/wiki/Call_Me_When_You%27re_Sober,/wiki/Evanescence
2206,2006,Carrie Underwood,78.0,"Jesus, Take the Wheel","/wiki/Jesus,_Take_the_Wheel",/wiki/Carrie_Underwood
2225,2006,Danity Kane,79.0,Show Stopper,/wiki/Show_Stopper,/wiki/Danity_Kane
2243,2006,Yung Joc,79.0,Show Stopper,/wiki/Show_Stopper,/wiki/Yung_Joc
2261,2006,Ciara,80.0,Get Up,/wiki/Get_Up_(Ciara_song),/wiki/Ciara
2279,2006,Chamillionaire,80.0,Get Up,/wiki/Get_Up_(Ciara_song),/wiki/Chamillionaire
2296,2006,Sean Paul,81.0,We Be Burnin',/wiki/We_Be_Burnin%27,/wiki/Sean_Paul
2313,2006,Blue October,82.0,Hate Me,/wiki/Hate_Me,/wiki/Blue_October
2330,2006,Lifehouse,83.0,You and Me,/wiki/You_and_Me_(Lifehouse_song),/wiki/Lifehouse_(band)
2347,2006,Pussycat Dolls,84.0,Beep,/wiki/Beep_(The_Pussycat_Dolls_song),/wiki/Pussycat_Dolls
2363,2006,will.i.am,84.0,Beep,/wiki/Beep_(The_Pussycat_Dolls_song),/wiki/Will.i.am
2379,2006,Dem Franchize Boyz,85.0,I Think They Like Me,/wiki/I_Think_They_Like_Me,/wiki/Dem_Franchize_Boyz
2394,2006,Jermaine Dupri,85.0,I Think They Like Me,/wiki/I_Think_They_Like_Me,/wiki/Jermaine_Dupri
2409,2006,Da Brat,85.0,I Think They Like Me,/wiki/I_Think_They_Like_Me,/wiki/Da_Brat
2423,2006,Bow Wow,85.0,I Think They Like Me,/wiki/I_Think_They_Like_Me,/wiki/Bow_Wow_(rapper)
2437,2006,Chris Brown,86.0,Say Goodbye,/wiki/Say_Goodbye_(Chris_Brown_song),/wiki/Chris_Brown_(American_singer)
2451,2006,John Mayer,87.0,Waiting on the World to Change,/wiki/Waiting_on_the_World_to_Change,/wiki/John_Mayer
2464,2006,Young Jeezy,88.0,Soul Survivor,/wiki/Soul_Survivor_(Young_Jeezy_song),/wiki/Young_Jeezy
2477,2006,Akon,88.0,Soul Survivor,/wiki/Soul_Survivor_(Young_Jeezy_song),/wiki/Akon
2490,2006,The Black Eyed Peas,89.0,Pump It,/wiki/Pump_It,/wiki/The_Black_Eyed_Peas
2503,2006,Eminem,90.0,When I'm Gone,/wiki/When_I%27m_Gone_(Eminem_song),/wiki/Eminem
2516,2006,Madonna,91.0,Hung Up,/wiki/Hung_Up,/wiki/Madonna_(entertainer)
2528,2006,Three 6 Mafia,92.0,Stay Fly,/wiki/Stay_Fly,/wiki/Three_6_Mafia
2539,2006,Young Buck,92.0,Stay Fly,/wiki/Stay_Fly,/wiki/Young_Buck
2550,2006,8Ball & MJG,92.0,Stay Fly,/wiki/Stay_Fly,/wiki/8Ball_%26_MJG
2559,2006,Keyshia Cole,93.0,Love,/wiki/Love_(Keyshia_Cole_song),/wiki/Keyshia_Cole
2568,2006,Ne-Yo,94.0,When You're Mad,/wiki/When_You%27re_Mad,/wiki/Ne-Yo
2577,2006,T.I.,95.0,Why You Wanna,/wiki/Why_You_Wanna,/wiki/T.I.
2586,2006,Pink,96.0,Stupid Girls,/wiki/Stupid_Girls,/wiki/Pink_(singer)
2594,2006,Gorillaz,97.0,Feel Good Inc.,/wiki/Feel_Good_Inc.,/wiki/Gorillaz
2601,2006,T-Pain,98.0,I'm Sprung,/wiki/I%27m_Sprung,/wiki/T-Pain
2607,2006,Taylor Hicks,99.0,Do I Make You Proud,/wiki/Do_I_Make_You_Proud,/wiki/Taylor_Hicks
2613,2006,Teddy Geiger,100.0,For You I Will (Confidence),/wiki/For_You_I_Will_(Confidence),/wiki/Teddy_Geiger
12,2007,Beyoncé,1.0,Irreplaceable,/wiki/Irreplaceable,/wiki/Beyonc%C3%A9
32,2007,Rihanna,2.0,Umbrella,/wiki/Umbrella_(song),/wiki/Rihanna
52,2007,Jay-Z,2.0,Umbrella,/wiki/Umbrella_(song),/wiki/Jay-Z
72,2007,Gwen Stefani,3.0,The Sweet Escape,/wiki/The_Sweet_Escape_(song),/wiki/Gwen_Stefani
92,2007,Akon,3.0,The Sweet Escape,/wiki/The_Sweet_Escape_(song),/wiki/Akon
112,2007,Fergie,4.0,Big Girls Don't Cry,/wiki/Big_Girls_Don%27t_Cry_(Fergie_song),/wiki/Fergie_(singer)
132,2007,T-Pain,5.0,Buy U a Drank (Shawty Snappin'),/wiki/Buy_U_a_Drank_(Shawty_Snappin%27),/wiki/T-Pain
152,2007,Yung Joc,5.0,Buy U a Drank (Shawty Snappin'),/wiki/Buy_U_a_Drank_(Shawty_Snappin%27),/wiki/Yung_Joc
172,2007,Carrie Underwood,6.0,Before He Cheats,/wiki/Before_He_Cheats,/wiki/Carrie_Underwood
192,2007,Plain White T's,7.0,Hey There Delilah,/wiki/Hey_There_Delilah,/wiki/Plain_White_T%27s
212,2007,Akon,8.0,I Wanna Love You,/wiki/I_Wanna_Love_You_(Akon_song),/wiki/Akon
232,2007,Snoop Dogg,8.0,I Wanna Love You,/wiki/I_Wanna_Love_You_(Akon_song),/wiki/Snoop_Dogg
252,2007,Nelly Furtado,9.0,Say It Right,/wiki/Say_It_Right,/wiki/Nelly_Furtado
272,2007,Fergie,10.0,Glamorous,/wiki/Glamorous_(Fergie_song),/wiki/Fergie_(singer)
292,2007,Ludacris,10.0,Glamorous,/wiki/Glamorous_(Fergie_song),/wiki/Ludacris
312,2007,Akon,11.0,Don't Matter,/wiki/Don%27t_Matter,/wiki/Akon
332,2007,Avril Lavigne,12.0,Girlfriend,/wiki/Girlfriend_(Avril_Lavigne_song),/wiki/Avril_Lavigne
352,2007,Maroon 5,13.0,Makes Me Wonder,/wiki/Makes_Me_Wonder,/wiki/Maroon_5
372,2007,Shop Boyz,14.0,Party Like a Rockstar,/wiki/Party_Like_a_Rockstar,/wiki/Shop_Boyz
392,2007,Akon,15.0,Smack That,/wiki/Smack_That,/wiki/Akon
412,2007,Eminem,15.0,Smack That,/wiki/Smack_That,/wiki/Eminem
432,2007,Mims,16.0,This Is Why I'm Hot,/wiki/This_Is_Why_I%27m_Hot,/wiki/Mims_(rapper)
452,2007,Daughtry,17.0,It's Not Over,/wiki/It%27s_Not_Over_(Daughtry_song),/wiki/Daughtry_(band)
472,2007,Timbaland,18.0,The Way I Are,/wiki/The_Way_I_Are,/wiki/Timbaland
492,2007,Keri Hilson,18.0,The Way I Are,/wiki/The_Way_I_Are,/wiki/Keri_Hilson
512,2007,Fergie,19.0,Fergalicious,/wiki/Fergalicious,/wiki/Fergie_(singer)
532,2007,will.i.am,19.0,Fergalicious,/wiki/Fergalicious,/wiki/Will.i.am
552,2007,Soulja Boy Tell 'Em,20.0,Crank That (Soulja Boy),/wiki/Crank_That_(Soulja_Boy),/wiki/Soulja_Boy
572,2007,Timbaland,21.0,Give It to Me,/wiki/Give_It_to_Me_(Timbaland_song),/wiki/Timbaland
592,2007,Nelly Furtado,21.0,Give It to Me,/wiki/Give_It_to_Me_(Timbaland_song),/wiki/Nelly_Furtado
612,2007,Justin Timberlake,21.0,Give It to Me,/wiki/Give_It_to_Me_(Timbaland_song),/wiki/Justin_Timberlake
632,2007,Justin Timberlake,22.0,What Goes Around... Comes Around,/wiki/What_Goes_Around..._Comes_Around,/wiki/Justin_Timberlake
652,2007,Gym Class Heroes,23.0,Cupid's Chokehold,/wiki/Cupid%27s_Chokehold,/wiki/Gym_Class_Heroes
672,2007,Patrick Stump,23.0,Cupid's Chokehold,/wiki/Cupid%27s_Chokehold,/wiki/Patrick_Stump
692,2007,The Fray,24.0,How to Save a Life,/wiki/How_to_Save_a_Life_(song),/wiki/The_Fray
712,2007,Daughtry,25.0,Home,/wiki/Home_(Daughtry_song),/wiki/Daughtry_(band)
732,2007,Justin Timberlake,26.0,My Love,/wiki/My_Love_(Justin_Timberlake_song),/wiki/Justin_Timberlake
752,2007,T.I.,26.0,My Love,/wiki/My_Love_(Justin_Timberlake_song),/wiki/T.I.
772,2007,Kanye West,27.0,Stronger,/wiki/Stronger_(Kanye_West_song),/wiki/Kanye_West
792,2007,Jim Jones,28.0,We Fly High,/wiki/We_Fly_High,/wiki/Jim_Jones_(rapper)
812,2007,Pink,29.0,U + Ur Hand,/wiki/U_%2B_Ur_Hand,/wiki/Pink_(singer)
832,2007,Unk,30.0,Walk It Out,/wiki/Walk_It_Out_(Unk_song),/wiki/Unk
852,2007,Sean Kingston,31.0,Beautiful Girls,/wiki/Beautiful_Girls_(Sean_Kingston_song),/wiki/Sean_Kingston
872,2007,Fall Out Boy,32.0,"This Ain't a Scene, It's an Arms Race","/wiki/This_Ain%27t_a_Scene,_It%27s_an_Arms_Race",/wiki/Fall_Out_Boy
892,2007,T-Pain,33.0,Bartender,/wiki/Bartender_(T-Pain_song),/wiki/T-Pain
912,2007,Akon,33.0,Bartender,/wiki/Bartender_(T-Pain_song),/wiki/Akon
932,2007,Huey,34.0,"Pop, Lock & Drop It","/wiki/Pop,_Lock_%26_Drop_It",/wiki/Huey_(rapper)
952,2007,Ludacris,35.0,Runaway Love,/wiki/Runaway_Love_(Ludacris_song),/wiki/Ludacris
972,2007,Mary J. Blige,35.0,Runaway Love,/wiki/Runaway_Love_(Ludacris_song),/wiki/Mary_J._Blige
992,2007,Nickelback,36.0,Rockstar,/wiki/Rockstar_(Nickelback_song),/wiki/Nickelback
1012,2007,Fall Out Boy,37.0,Thnks fr th Mmrs,/wiki/Thnks_fr_th_Mmrs,/wiki/Fall_Out_Boy
1032,2007,Linkin Park,38.0,What I've Done,/wiki/What_I%27ve_Done,/wiki/Linkin_Park
1052,2007,Justin Timberlake,39.0,Summer Love,/wiki/Summer_Love_(Justin_Timberlake_song),/wiki/Justin_Timberlake
1072,2007,Lloyd,40.0,You,/wiki/You_(Lloyd_song),/wiki/Lloyd_(singer)
1092,2007,Lil Wayne,40.0,You,/wiki/You_(Lloyd_song),/wiki/Lil_Wayne
1112,2007,Elliott Yamin,41.0,Wait for You,/wiki/Wait_for_You,/wiki/Elliott_Yamin
1132,2007,Diddy,42.0,Last Night,/wiki/Last_Night_(Diddy_song),/wiki/Sean_Combs
1152,2007,Keyshia Cole,42.0,Last Night,/wiki/Last_Night_(Diddy_song),/wiki/Keyshia_Cole
1172,2007,Fat Joe,43.0,Make It Rain,/wiki/Make_It_Rain,/wiki/Fat_Joe
1192,2007,Lil Wayne,43.0,Make It Rain,/wiki/Make_It_Rain,/wiki/Lil_Wayne
1212,2007,Fabolous,44.0,Make Me Better,/wiki/Make_Me_Better,/wiki/Fabolous
1232,2007,Ne-Yo,44.0,Make Me Better,/wiki/Make_Me_Better,/wiki/Ne-Yo
1252,2007,Omarion,45.0,Ice Box,/wiki/Ice_Box_(song),/wiki/Omarion
1272,2007,Timbaland,45.0,Ice Box,/wiki/Ice_Box_(song),/wiki/Timbaland
1292,2007,Hinder,46.0,Lips of an Angel,/wiki/Lips_of_an_Angel,/wiki/Hinder
1312,2007,John Mayer,47.0,Waiting on the World to Change,/wiki/Waiting_on_the_World_to_Change,/wiki/John_Mayer
1332,2007,Robin Thicke,48.0,Lost Without U,/wiki/Lost_Without_U,/wiki/Robin_Thicke
1352,2007,R. Kelly,49.0,I'm a Flirt,/wiki/I%27m_a_Flirt,/wiki/R._Kelly
1372,2007,T.I.,49.0,I'm a Flirt,/wiki/I%27m_a_Flirt,/wiki/T.I.
1392,2007,T-Pain,49.0,I'm a Flirt,/wiki/I%27m_a_Flirt,/wiki/T-Pain
1412,2007,Nickelback,50.0,If Everyone Cared,/wiki/If_Everyone_Cared,/wiki/Nickelback
1432,2007,Lloyd,51.0,Get It Shawty,/wiki/Get_It_Shawty,/wiki/Lloyd_(singer)
1452,2007,The Red Jumpsuit Apparatus,52.0,Face Down,/wiki/Face_Down_(The_Red_Jumpsuit_Apparatus_song),/wiki/The_Red_Jumpsuit_Apparatus
1472,2007,Baby Boy da Prince,53.0,The Way I Live,/wiki/The_Way_I_Live,/wiki/Baby_Boy_da_Prince
1492,2007,Bow Wow,54.0,Shortie Like Mine,/wiki/Shortie_Like_Mine,/wiki/Bow_Wow_(rapper)
1512,2007,Chris Brown,54.0,Shortie Like Mine,/wiki/Shortie_Like_Mine,/wiki/Chris_Brown
1532,2007,Johntá Austin,54.0,Shortie Like Mine,/wiki/Shortie_Like_Mine,/wiki/Johnt%C3%A1_Austin
1552,2007,The All-American Rejects,55.0,It Ends Tonight,/wiki/It_Ends_Tonight,/wiki/The_All-American_Rejects
1572,2007,Hurricane Chris,56.0,A Bay Bay,/wiki/A_Bay_Bay,/wiki/Hurricane_Chris_(rapper)
1592,2007,Ne-Yo,57.0,Because of You,/wiki/Because_of_You_(Ne-Yo_song),/wiki/Ne-Yo
1612,2007,Bone Thugs-n-Harmony,58.0,I Tried,/wiki/I_Tried_(Bone_Thugs-n-Harmony_song),/wiki/Bone_Thugs-n-Harmony
1632,2007,Akon,58.0,I Tried,/wiki/I_Tried_(Bone_Thugs-n-Harmony_song),/wiki/Akon
1652,2007,My Chemical Romance,59.0,Welcome to the Black Parade,/wiki/Welcome_to_the_Black_Parade,/wiki/My_Chemical_Romance
1672,2007,Plies,60.0,Shawty,/wiki/Shawty_(song),/wiki/Plies_(rapper)
1692,2007,T-Pain,60.0,Shawty,/wiki/Shawty_(song),/wiki/T-Pain
1712,2007,Snow Patrol,61.0,Chasing Cars,/wiki/Chasing_Cars,/wiki/Snow_Patrol
1732,2007,Beyoncé,62.0,Beautiful Liar,/wiki/Beautiful_Liar,/wiki/Beyonc%C3%A9_Knowles
1752,2007,Shakira,62.0,Beautiful Liar,/wiki/Beautiful_Liar,/wiki/Shakira
1772,2007,Justin Timberlake,63.0,SexyBack,/wiki/SexyBack,/wiki/Justin_Timberlake
1792,2007,Avril Lavigne,64.0,Keep Holding On,/wiki/Keep_Holding_On,/wiki/Avril_Lavigne
1812,2007,Keyshia Cole,65.0,Let It Go,/wiki/Let_It_Go_(Keyshia_Cole_song),/wiki/Keyshia_Cole
1832,2007,Missy Elliott,65.0,Let It Go,/wiki/Let_It_Go_(Keyshia_Cole_song),/wiki/Missy_Elliott
1852,2007,Lil' Kim,65.0,Let It Go,/wiki/Let_It_Go_(Keyshia_Cole_song),/wiki/Lil%27_Kim
1872,2007,Timbaland,66.0,Apologize,/wiki/Apologize_(OneRepublic_song),/wiki/Timbaland
